,id,cluster,genero,ocupacion,estado_civil,ingreso_anual
0,200000001,0,0,1,0,110866
1,200000002,2,1,2,1,159052
2,200000003,0,0,1,0,113212
3,200000004,0,0,0,0,119602
4,200000005,0,0,1,0,121466
5,200000006,0,0,1,0,112347
6,200000007,0,0,2,0,125190
7,200000008,0,0,1,0,131122
8,200000009,0,0,0,0,108960
9,200000010,1,0,0,0,69370
10,200000011,2,0,2,0,181262
11,200000012,0,0,1,0,122830
12,200000013,0,0,0,0,116525
13,200000014,1,0,0,0,76881
14,200000015,1,1,0,0,72188
15,200000016,0,1,1,0,110287
16,200000017,0,0,1,0,102723
17,200000018,0,0,0,0,104505
18,200000019,1,0,0,1,72429
19,200000020,1,1,0,0,58207
20,200000021,0,0,1,0,135754
21,200000022,0,0,1,0,121347
22,200000023,1,0,0,0,94868
23,200000024,1,1,0,1,88428
24,200000025,0,0,1,0,107633
25,200000026,2,0,2,0,170146
26,200000027,0,1,1,1,112422
27,200000028,1,1,0,0,53608
28,200000029,0,1,1,0,119068
29,200000030,1,0,0,1,81210
30,200000031,1,1,0,0,81014
31,200000032,0,1,1,1,103181
32,200000033,2,0,1,0,172957
33,200000034,1,0,0,1,71310
34,200000035,0,0,1,0,121592
35,200000036,1,1,0,0,94674
36,200000037,0,0,1,0,133105
37,200000038,0,0,1,0,124990
38,200000039,0,0,1,1,126400
39,200000040,0,0,1,0,106215
41,200000042,1,0,0,0,85270
42,200000043,1,1,0,0,67861
43,200000044,1,0,0,0,69415
44,200000045,0,0,0,0,102617
45,200000046,1,0,0,1,69487
46,200000047,0,0,1,0,135090
47,200000048,1,0,0,0,83442
48,200000049,2,0,2,1,146519
49,200000050,1,1,0,1,43805
50,200000051,0,1,1,0,103787
51,200000052,2,1,1,1,164915
52,200000053,1,0,0,0,43684
53,200000054,2,0,1,0,159714
54,200000055,1,0,2,0,91019
55,200000056,1,0,0,0,75705
56,200000057,2,0,2,1,215150
57,200000058,0,0,1,0,116261
58,200000059,0,1,1,1,106987
59,200000060,2,0,2,1,161999
60,200000061,0,0,1,0,113572
61,200000062,0,0,1,1,108315
62,200000063,0,1,1,1,123194
63,200000064,1,1,0,1,81200
64,200000065,0,1,1,1,120682
65,200000066,2,0,1,0,157940
66,200000067,1,0,0,0,64105
67,200000068,1,0,0,1,62263
68,200000069,0,0,1,0,109053
69,200000070,1,1,0,0,78754
70,200000071,2,0,2,1,168763
71,200000072,0,0,1,0,101210
72,200000073,2,0,2,0,151914
73,200000074,0,1,0,0,106559
74,200000075,0,0,1,0,111821
75,200000076,0,1,0,0,118396
76,200000077,1,1,0,1,87801
78,200000079,0,0,1,0,129789
79,200000080,0,0,1,1,135332
80,200000081,2,1,1,1,158405
81,200000082,0,0,1,0,124156
82,200000083,0,0,2,0,141632
83,200000084,1,0,0,1,82082
84,200000085,2,0,2,0,153586
85,200000086,1,0,0,0,69588
86,200000087,1,1,0,0,68347
87,200000088,2,0,2,0,157299
88,200000089,0,1,1,1,123257
89,200000090,0,0,1,0,124725
90,200000091,2,0,1,0,147967
91,200000092,0,1,1,0,109195
92,200000093,1,0,0,0,71603
93,200000094,0,1,1,1,105726
94,200000095,0,1,1,1,109380
95,200000096,0,0,1,0,122267
96,200000097,0,0,0,0,135275
97,200000098,1,1,0,1,82357
98,200000099,1,1,0,0,79353
99,200000100,0,0,0,0,121852
100,200000101,2,0,2,0,205383
101,200000102,0,0,1,0,123641
102,200000103,1,0,0,0,88849
103,200000104,2,0,1,1,145781
104,200000105,1,0,0,1,63442
105,200000106,1,1,0,0,91232
106,200000107,0,1,0,1,100210
107,200000108,0,1,1,1,126710
108,200000109,0,0,1,0,124670
109,200000110,0,1,1,1,124359
110,200000111,0,0,1,0,140182
112,200000113,2,0,2,0,213333
113,200000114,0,0,1,0,120354
114,200000115,2,0,2,1,169324
115,200000116,0,1,1,1,100924
116,200000117,0,1,1,0,113108
117,200000118,0,1,1,1,107585
118,200000119,0,0,1,0,120160
119,200000120,2,1,1,1,162591
120,200000121,1,1,0,0,95972
121,200000122,2,0,1,0,149782
123,200000124,2,1,2,1,171052
124,200000125,1,0,1,0,98102
125,200000126,1,0,1,0,88559
126,200000127,1,1,0,1,38247
127,200000128,1,1,0,0,82500
128,200000129,0,0,1,0,117813
129,200000130,0,0,0,0,121970
130,200000131,1,0,0,0,83687
131,200000132,1,0,0,0,70926
132,200000133,1,0,0,1,70320
133,200000134,0,1,1,1,122649
134,200000135,0,0,1,1,139780
135,200000136,0,1,1,1,126357
137,200000138,0,0,1,0,124902
138,200000139,0,1,1,1,126531
139,200000140,1,0,0,0,95639
140,200000141,2,0,2,0,178967
141,200000142,0,1,1,1,115445
142,200000143,0,1,1,1,128163
143,200000144,0,0,1,0,122094
144,200000145,0,0,1,0,122693
145,200000146,1,0,1,1,94947
146,200000147,0,1,1,0,104696
147,200000148,0,0,1,0,120387
148,200000149,2,0,1,0,167019
149,200000150,1,1,1,1,97741
150,200000151,0,0,2,0,129975
151,200000152,0,0,0,1,130788
152,200000153,0,1,1,0,114767
153,200000154,1,0,0,0,77535
154,200000155,1,0,0,0,71159
155,200000156,1,0,0,0,60868
156,200000157,1,1,1,1,97551
157,200000158,2,0,2,1,154585
158,200000159,0,0,1,0,124089
159,200000160,0,1,1,1,104484
160,200000161,1,1,1,0,98023
161,200000162,2,1,0,1,181003
162,200000163,1,1,0,0,89287
163,200000164,0,1,1,1,118594
164,200000165,1,0,0,0,73703
165,200000166,0,1,0,1,100618
167,200000168,2,0,2,1,145800
168,200000169,0,0,1,1,131242
169,200000170,1,1,0,1,62335
170,200000171,0,0,1,1,130951
172,200000173,0,1,1,1,130740
173,200000174,0,0,0,0,104196
174,200000175,1,0,0,0,70336
175,200000176,0,0,1,0,116512
176,200000177,0,1,0,0,104833
177,200000178,0,0,0,0,135605
178,200000179,0,0,1,0,123243
179,200000180,0,0,0,0,112538
180,200000181,0,0,1,0,136138
181,200000182,1,1,0,0,79076
182,200000183,2,0,1,0,146349
183,200000184,1,0,0,0,88211
184,200000185,1,1,0,0,76057
185,200000186,0,0,1,0,121974
187,200000188,2,1,2,1,169002
188,200000189,0,1,1,0,136055
189,200000190,0,0,0,0,107380
190,200000191,0,0,1,0,103470
191,200000192,0,1,1,1,133235
192,200000193,1,0,0,0,72193
193,200000194,1,1,0,0,68051
194,200000195,2,0,2,1,202997
195,200000196,0,0,1,0,116348
196,200000197,0,0,1,0,140795
197,200000198,1,0,0,0,88157
198,200000199,1,0,0,0,90709
199,200000200,0,0,1,0,119502
200,200000201,0,0,2,1,101471
201,200000202,0,0,1,0,115589
202,200000203,0,0,0,0,122292
203,200000204,2,0,2,1,213768
204,200000205,1,0,1,0,93648
205,200000206,0,0,1,0,131727
206,200000207,1,1,0,1,93495
207,200000208,0,1,1,0,138525
208,200000209,2,0,2,0,201699
209,200000210,0,0,1,1,122895
210,200000211,1,1,0,1,70963
211,200000212,2,0,1,0,159716
212,200000213,0,1,1,1,115879
213,200000214,1,0,0,0,78253
214,200000215,1,0,0,1,81987
215,200000216,0,1,1,1,133616
216,200000217,2,0,2,0,148566
218,200000219,0,0,1,0,130082
219,200000220,0,0,1,0,113414
220,200000221,0,1,1,1,124777
221,200000222,1,0,0,1,84747
222,200000223,2,0,0,0,144848
223,200000224,2,0,1,0,160642
224,200000225,2,0,2,0,154854
225,200000226,0,0,1,1,120674
226,200000227,2,0,2,0,153223
227,200000228,0,1,1,1,134377
228,200000229,2,1,1,1,145140
229,200000230,1,0,0,1,68582
230,200000231,1,1,0,0,76384
231,200000232,0,0,0,0,124183
232,200000233,0,0,1,1,129227
233,200000234,0,0,1,0,114429
234,200000235,0,0,0,0,109698
235,200000236,2,0,0,0,171857
236,200000237,0,0,1,0,105519
237,200000238,1,1,0,1,92194
238,200000239,2,0,2,0,235660
239,200000240,0,1,0,0,116816
240,200000241,0,1,1,1,128271
241,200000242,1,0,0,1,68264
242,200000243,0,1,1,1,108272
243,200000244,0,0,1,0,100215
244,200000245,2,0,2,0,160164
245,200000246,1,0,0,0,83660
247,200000248,0,1,1,1,124975
248,200000249,0,1,1,1,104094
249,200000250,0,0,1,0,110159
250,200000251,0,1,1,0,107539
251,200000252,0,0,0,1,117796
252,200000253,1,0,0,1,81394
253,200000254,0,1,1,1,115026
254,200000255,2,1,1,1,161714
255,200000256,0,1,1,0,101948
256,200000257,0,1,1,0,109250
257,200000258,1,0,0,1,65207
258,200000259,0,0,0,0,125119
259,200000260,2,0,2,1,170118
260,200000261,0,0,1,0,133243
261,200000262,1,1,0,0,64860
262,200000263,0,1,0,0,113290
263,200000264,0,0,1,0,121448
264,200000265,2,0,2,1,175223
265,200000266,2,0,2,0,151339
266,200000267,2,0,2,0,143552
267,200000268,1,0,1,0,99066
268,200000269,2,0,1,0,154778
269,200000270,2,0,1,0,159216
270,200000271,1,1,0,0,69523
271,200000272,2,0,2,0,151947
272,200000273,0,1,1,0,127206
273,200000274,0,0,1,0,131133
274,200000275,0,1,1,1,123279
275,200000276,1,0,0,0,69062
276,200000277,0,0,1,1,129177
277,200000278,2,0,1,0,151803
278,200000279,0,0,1,0,130344
279,200000280,1,0,0,0,85685
280,200000281,2,0,1,1,172909
281,200000282,2,0,1,0,149237
282,200000283,0,1,1,1,124566
283,200000284,2,0,2,0,214732
284,200000285,0,0,1,1,106955
285,200000286,0,0,1,0,106552
286,200000287,0,0,1,1,124658
287,200000288,2,0,1,0,169405
288,200000289,2,0,2,0,149040
289,200000290,0,1,0,0,101074
290,200000291,0,0,1,0,102180
291,200000292,1,0,0,0,87232
292,200000293,1,0,0,0,82277
293,200000294,2,1,1,1,147259
294,200000295,1,0,0,0,89170
295,200000296,2,1,2,1,211572
296,200000297,0,0,1,0,123003
297,200000298,0,0,1,0,128310
298,200000299,0,1,0,0,123525
299,200000300,1,1,0,1,97006
300,200000301,1,1,0,1,82940
301,200000302,0,1,1,1,127825
302,200000303,1,1,0,1,80189
303,200000304,0,1,0,1,113399
304,200000305,1,1,0,1,68834
305,200000306,0,1,0,0,116176
306,200000307,2,0,2,0,145896
307,200000308,2,0,1,0,200298
308,200000309,0,1,0,1,136735
309,200000310,1,0,0,0,89502
310,200000311,1,1,0,1,64472
311,200000312,1,0,0,0,86492
313,200000314,2,1,2,1,157595
314,200000315,2,0,1,1,144197
315,200000316,0,1,1,1,110610
316,200000317,1,0,0,0,68475
319,200000320,0,1,1,1,120030
320,200000321,2,1,1,1,143489
321,200000322,0,1,1,1,119673
322,200000323,0,1,1,1,112728
324,200000325,0,0,1,0,135567
325,200000326,0,0,1,0,129798
326,200000327,1,1,0,0,82673
327,200000328,2,0,1,1,166712
328,200000329,0,0,1,1,134112
329,200000330,2,0,2,0,198029
330,200000331,0,0,1,0,103439
331,200000332,0,0,1,0,123191
332,200000333,0,1,1,1,116763
333,200000334,1,0,0,0,65827
334,200000335,0,0,0,0,105252
335,200000336,0,1,1,1,109311
336,200000337,1,0,0,0,84435
337,200000338,1,0,0,1,80080
338,200000339,0,1,1,0,120863
339,200000340,0,1,0,1,121399
340,200000341,1,0,0,0,71302
341,200000342,0,0,1,0,138327
342,200000343,1,1,0,1,64952
343,200000344,0,1,0,0,107757
344,200000345,1,0,1,0,95438
345,200000346,1,0,0,0,93183
346,200000347,0,0,0,0,130500
347,200000348,1,1,0,1,97376
348,200000349,0,1,1,1,107408
349,200000350,0,1,0,1,140178
350,200000351,0,1,1,1,121428
351,200000352,0,1,0,1,125105
352,200000353,1,1,0,1,95071
353,200000354,1,1,1,0,97192
354,200000355,0,0,1,0,138644
355,200000356,0,1,1,0,113619
356,200000357,1,1,0,0,57480
357,200000358,1,0,0,1,77481
358,200000359,0,1,1,0,109693
359,200000360,0,0,0,0,99723
360,200000361,2,0,2,0,155870
361,200000362,2,0,1,0,171565
362,200000363,0,1,1,1,134350
363,200000364,0,0,1,1,109892
364,200000365,0,1,1,0,122180
366,200000367,0,0,1,0,129630
367,200000368,0,1,1,1,115833
368,200000369,2,0,2,0,166410
369,200000370,1,1,0,1,88858
370,200000371,0,0,0,0,122186
371,200000372,0,1,1,1,135534
372,200000373,0,0,0,0,117842
373,200000374,2,0,0,0,148675
374,200000375,1,0,0,1,89335
375,200000376,1,1,0,1,69487
377,200000378,2,0,1,0,155486
378,200000379,0,0,1,0,135043
379,200000380,0,0,1,0,128052
380,200000381,1,1,0,0,92281
381,200000382,0,0,0,0,131751
382,200000383,0,0,0,0,115426
383,200000384,1,1,0,0,75297
384,200000385,0,0,1,0,112093
385,200000386,0,0,1,0,117308
386,200000387,2,0,0,0,143886
387,200000388,1,1,0,1,87537
388,200000389,0,1,1,1,130870
389,200000390,2,0,1,1,149510
390,200000391,2,1,1,1,167532
391,200000392,2,0,1,0,144456
392,200000393,0,0,1,1,113012
393,200000394,1,1,0,1,89665
394,200000395,2,1,2,1,169991
395,200000396,1,1,0,1,65852
396,200000397,1,1,0,1,78762
397,200000398,2,0,1,1,149410
398,200000399,2,1,2,1,147626
399,200000400,1,0,0,0,93732
400,200000401,0,1,1,1,129112
401,200000402,0,0,0,0,114475
402,200000403,0,1,1,1,135557
403,200000404,0,0,1,0,125903
404,200000405,1,0,0,0,73265
405,200000406,0,1,0,1,128343
406,200000407,0,1,1,0,117971
407,200000408,1,0,0,0,69571
408,200000409,0,0,1,0,120153
409,200000410,2,1,1,1,184753
410,200000411,0,1,1,0,113334
411,200000412,0,1,0,1,99953
412,200000413,2,0,0,0,154003
414,200000415,2,0,2,0,159378
415,200000416,1,1,0,0,78963
416,200000417,2,0,2,1,160650
417,200000418,0,0,1,0,135830
418,200000419,1,0,0,0,66628
419,200000420,0,0,1,1,120499
420,200000421,2,0,1,1,146716
421,200000422,2,1,1,1,190518
422,200000423,0,0,1,0,103963
423,200000424,2,0,2,0,166298
424,200000425,0,0,1,1,133623
425,200000426,0,0,1,0,124268
426,200000427,1,0,0,0,77265
427,200000428,0,0,1,0,106623
428,200000429,1,0,0,1,78296
429,200000430,2,0,1,1,159646
430,200000431,0,0,1,0,114853
431,200000432,2,1,2,1,209856
432,200000433,1,0,0,1,78436
433,200000434,0,0,1,0,132767
434,200000435,1,0,0,0,81870
435,200000436,0,1,1,1,133561
436,200000437,1,1,0,0,84555
437,200000438,0,1,1,1,127752
438,200000439,1,1,0,1,97558
439,200000440,0,0,0,1,112369
440,200000441,2,1,2,1,173378
441,200000442,0,1,0,0,100560
442,200000443,0,0,1,0,129838
443,200000444,1,1,0,1,85115
444,200000445,0,1,1,0,114588
445,200000446,0,1,1,1,104653
446,200000447,1,0,0,0,61824
447,200000448,1,1,0,0,80116
448,200000449,1,0,0,0,70978
449,200000450,0,0,0,0,113468
450,200000451,0,1,1,0,110509
451,200000452,0,0,1,0,126060
452,200000453,0,0,1,1,108694
454,200000455,0,1,1,1,132752
455,200000456,0,1,1,0,109489
456,200000457,2,1,2,1,194882
457,200000458,0,0,0,0,116137
458,200000459,0,0,1,0,128702
459,200000460,1,1,1,1,91925
460,200000461,0,0,1,0,113757
461,200000462,0,1,1,0,130323
462,200000463,1,1,1,0,95541
463,200000464,2,0,1,0,145689
464,200000465,0,0,0,0,108540
465,200000466,0,0,1,0,112878
466,200000467,0,1,1,1,110420
467,200000468,2,1,1,1,150372
468,200000469,0,0,1,1,112227
469,200000470,2,1,2,1,192561
470,200000471,2,1,1,1,161116
471,200000472,1,1,0,0,78078
472,200000473,2,1,1,1,199654
473,200000474,0,1,1,1,104467
474,200000475,2,0,1,0,143082
475,200000476,0,0,0,0,102839
476,200000477,2,0,1,0,154339
477,200000478,0,0,0,0,139477
478,200000479,1,0,0,0,64037
479,200000480,0,0,1,0,112979
480,200000481,0,1,1,1,99822
481,200000482,2,1,1,1,173124
482,200000483,0,0,1,0,125517
483,200000484,2,0,2,0,157576
484,200000485,1,1,0,1,81609
485,200000486,0,0,1,0,136671
486,200000487,0,0,0,1,110190
487,200000488,1,0,0,1,89914
488,200000489,2,1,2,1,193816
489,200000490,1,0,0,0,66447
490,200000491,2,0,2,0,150237
491,200000492,0,1,1,1,102974
492,200000493,2,1,2,1,152267
493,200000494,1,1,0,0,89309
494,200000495,0,0,1,0,106120
495,200000496,1,1,0,1,71021
496,200000497,1,0,0,0,89374
497,200000498,0,1,1,1,114784
498,200000499,1,1,0,0,73266
499,200000500,0,0,1,0,120946
